1 Aarav 59 100 55 10 3 2001 
2 Aarush 69 65 60 27 10 2001 
3 Aayush 52 92 71 16 5 2002 
4 Avyaan 60 71 57 15 7 2001 
5 Advik 91 54 56 10 6 2002 
6 Akarsh 63 69 76 14 8 2003 
7 Anay 94 97 78 7 12 2003 
8 Atharva 61 52 86 27 5 2001 
9 Arhaan 84 53 87 14 6 2001 
10 Ahaan 95 73 53 17 12 2002 
11 Arnav 99 80 57 19 4 2003 
12 Adhrit 60 59 88 16 8 2001 
13 Aryaman 100 88 54 17 10 2003 
14 Bhaavik 97 92 80 2 3 2003 
15 Bhavin 84 74 91 22 2 2003 
16 Chitaksh 58 52 97 14 3 2001 
17 Daksh 90 72 80 12 10 2003 
18 Darshit 56 86 54 23 9 2002 
19 Devansh 71 88 89 8 6 2002 
20 Dhanuk 68 60 71 13 12 2002 
21 Dhairya 60 75 62 16 2 2002 
22 Divij 92 78 85 11 3 2003 
23 Divit 75 93 57 27 7 2001 
24 Divyansh 79 59 70 13 12 2003 
25 Ehsaan 52 56 80 6 3 2001 
26 Eeshan 59 60 99 1 10 2003 
27 Faiyaz 73 100 61 4 6 2002 
28 Farhan 94 81 51 20 5 2003 
29 Gatik 79 52 58 18 6 2002 
30 Gauransh 71 59 60 17 3 2002 
31 Hardik 89 66 70 16 9 2002 
32 Himmat 52 89 89 23 3 2003 
33 Hriday 86 90 73 5 10 2003 
34 Hridaan 72 94 55 28 10 2001 
35 Hunar 83 74 52 17 12 2002 
36 Ishir 82 76 78 17 6 2002 
37 Ikshit 63 94 74 1 8 2001 
38 Ishaan 59 99 58 10 7 2001 
39 Ivaan 91 91 53 6 3 2002 
40 Izaan 81 63 79 4 3 2002 
41 Jaiyush 54 100 81 2 1 2001 
42 Jivin 77 63 82 14 1 2002 
43 Kanav 63 94 57 4 9 2002 
44 Krishiv 52 91 78 25 5 2002 
45 Kiaan 75 86 57 26 8 2002 
46 Kushagra 83 76 55 26 9 2001 
47 Krish 79 69 73 27 9 2001 
48 Lakshay 88 93 66 6 10 2002 
49 Lauhit 99 95 69 3 2 2003 
50 Lakshit 98 96 62 9 7 2003 
51 Manan 88 52 100 17 11 2003 
52 Manav 68 87 100 26 2 2002 
53 Medhansh 55 89 87 7 10 2002 
54 Moksh 89 54 58 22 3 2001 
55 Navodit 79 78 78 21 1 2003 
56 Nimit 56 51 91 21 3 2002 
57 Nirvaan 100 91 76 8 8 2001 
58 Nishith 52 76 61 13 6 2001 
59 Ohas 76 55 83 2 11 2002 
60 Ojas 98 86 66 9 1 2003 
61 Parv 57 55 70 3 9 2003 
62 Pranay 94 76 53 28 2 2002 
63 Pratham 75 55 64 16 3 2001 
64 Pura 83 68 88 28 8 2003 
65 Raghav 80 64 79 12 12 2001 
66 Ranbir 70 78 90 2 4 2001 
67 Reyansh 63 93 87 15 5 2001 
68 Ritvi 90 100 90 23 4 2003 
69 Rya 59 85 91 14 4 2003 
70 Rudransh 71 98 85 14 9 2001 
71 Saatvik 90 70 73 24 6 2002 
72 Savar 91 90 97 10 9 2002 
73 Sahil 87 96 53 28 6 2001 
74 Saksham 67 61 80 7 7 2001 
75 Suman 54 100 70 4 3 2002 
76 Samar 67 91 67 5 7 2003 
77 Shaan 100 85 87 1 12 2001 
78 Sahaj 92 86 95 22 12 2001 
79 Shayana 66 52 95 16 9 2001 
80 Shlok 74 70 67 14 11 2003 
81 Shreya 96 77 59 15 5 2003 
82 Stuvan 54 98 51 17 3 2003 
83 Suveer 56 70 86 18 10 2002 
84 Taksh 98 77 79 12 6 2003 
85 Tanvik 51 82 91 24 3 2002 
86 Tanm 59 74 62 15 10 2003 
87 Tej 83 94 87 16 6 2003 
88 Ujjwal 94 59 64 7 9 2003 
89 Uma 86 85 59 4 3 2001 
90 Uthkars 73 64 53 17 8 2001 
91 Vaibhav 97 59 95 10 11 2003 
92 Vihaan 54 88 61 21 7 2002 
93 Viraj 76 54 73 3 12 2003 
94 Virat 96 93 70 7 8 2001 
95 Vivaan 78 97 65 24 11 2001 
96 Yug 71 75 80 21 11 2001 
97 Yuvaan 69 67 53 22 2 2003 
98 Yuvr 95 68 58 26 1 2001 
99 Zain 69 71 58 1 8 2003 
100 Zeeshan 84 94 99 21 9 2003 
101 Aadrika 70 94 67 4 4 2002 
102 Aarya 79 92 53 4 7 2001 
103 Aarna 73 63 54 14 12 2002 
104 Aaradhita 59 54 74 22 6 2001 
105 Aarohi 65 80 63 24 8 2003 
106 Aasiya 85 63 74 16 2 2001 
107 Adhira 82 75 58 15 1 2003 
108 Advika 66 51 76 27 6 2001 
109 Ahana 86 75 68 4 3 2003 
110 Amyra 91 52 99 7 5 2003 
111 Aayat 57 96 82 9 10 2001 
112 Akshara 53 94 94 13 10 2001 
113 Anahita 67 86 74 11 1 2002 
114 Anaisha 70 67 84 23 2 2002 
115 Anika 64 76 71 15 8 2003 
116 Anvi 52 70 87 5 2 2003 
117 Ananya 79 56 68 1 5 2002 
118 Arushi 72 85 75 20 1 2002 
119 Aradhya 89 73 59 28 3 2001 
120 Bhamini 61 72 81 14 4 2001 
121 Charvi 69 51 85 6 7 2003 
122 Dhriti 100 72 82 4 10 2001 
123 Disha 52 63 97 9 5 2002 
124 Diva 82 65 77 27 5 2003 
125 Drishya 100 75 77 22 1 2003 
126 Ela 58 56 93 24 2 2002 
127 Eshana 61 68 60 3 7 2003 
128 Eenakshi 58 98 72 28 8 2003 
129 Hamsika 86 84 95 9 1 2002 
130 Hrishita 69 82 81 27 12 2001 
131 Hrida 61 54 58 16 6 2002 
132 Inaaya 55 83 56 24 1 2003 
133 Inayat 97 62 97 20 2 2001 
134 Ishita 65 74 58 1 4 2002 
135 Ishani 90 99 99 23 9 2001 
136 Ira 71 60 84 22 8 2001 
