1 Eren 76 66 53 21 5 2002 
2 Aarika 68 96 91 25 7 2001 
3 Abagael 84 86 64 5 9 2002 
4 Abagail 64 87 86 17 7 2003 
5 Abbe 98 56 67 2 11 2003 
6 Abbey 100 54 96 18 10 2001 
7 Abbi 72 100 60 13 4 2002 
8 Abbie 94 58 86 3 11 2003 
9 Abby 78 92 99 16 10 2002 
10 Abbye 89 71 69 20 8 2002 
11 Aaren 65 95 98 27 10 2002 
12 Aarika 67 61 69 13 2 2002 
13 Abagael 91 67 60 27 8 2001 
14 Abagail 59 72 69 12 7 2002 
15 Abbe 88 80 61 28 4 2002 
16 Abbey 94 78 66 15 7 2003 
17 Abbi 91 62 85 26 1 2001 
18 Abbie 88 52 95 22 8 2003 
19 Abby 77 66 64 22 11 2001 
20 Abbye 91 82 71 5 12 2003 
21 Aaren 65 74 59 4 11 2003 
22 Aarika 87 84 83 11 8 2003 
23 Abagael 87 99 80 5 10 2001 
24 Abagail 57 85 71 28 2 2003 
25 Abbe 77 54 66 3 11 2001 
26 Abbey 51 69 57 25 9 2003 
27 Abbi 69 63 87 8 11 2001 
28 Abbie 65 86 59 22 3 2001 
29 Abby 52 71 98 12 2 2001 
30 Abbye 55 67 83 26 1 2001 
31 Aaren 54 87 76 14 2 2001 
32 Aarika 56 68 80 14 5 2001 
33 Abagael 63 81 79 16 5 2003 
34 Abagail 84 71 71 11 11 2001 
35 Abbe 66 99 57 18 6 2003 
36 Abbey 54 81 93 9 2 2002 
37 Abbi 81 79 62 2 1 2001 
38 Abbie 63 88 93 11 2 2002 
39 Abby 99 88 64 18 5 2002 
40 Abbye 72 61 73 14 9 2001 
41 Aaren 84 100 62 14 9 2002 
42 Aarika 72 79 56 25 1 2001 
43 Abagael 77 70 98 7 4 2001 
44 Abagail 62 88 84 16 12 2003 
45 Abbe 71 74 81 18 8 2003 
46 Abbey 76 63 66 26 3 2003 
47 Abbi 75 56 72 13 6 2002 
48 Abbie 72 80 70 2 12 2001 
49 Abby 84 77 63 23 7 2002 
50 Abbye 89 83 53 18 12 2003 
51 Aaren 89 70 56 17 12 2003 
52 Aarika 82 98 52 18 1 2002 
53 Abagael 70 54 82 2 5 2001 
54 Abagail 62 91 57 1 5 2002 
55 Abbe 95 69 91 8 1 2002 
56 Abbey 87 91 77 18 2 2002 
57 Abbi 54 96 73 3 9 2001 
58 Abbie 82 87 64 5 12 2001 
59 Abby 75 64 65 18 2 2001 
60 Abbye 68 58 87 7 11 2002 
61 Aaren 85 66 57 14 11 2001 
62 Aarika 74 90 93 26 11 2003 
63 Abagael 74 68 76 11 8 2002 
64 Abagail 94 73 77 10 5 2001 
65 Abbe 76 72 52 25 9 2001 
66 Abbey 61 71 56 8 5 2003 
67 Abbi 60 81 57 16 1 2001 
68 Abbie 61 88 68 16 6 2002 
69 Abby 69 64 61 1 8 2001 
70 Abbye 94 70 87 8 1 2001 
71 Aaren 73 63 100 21 5 2002 
72 Aarika 64 97 66 21 2 2002 
73 Abagael 98 53 68 28 8 2002 
74 Abagail 82 88 60 6 8 2001 
75 Abbe 82 63 65 9 10 2001 
76 Abbey 52 86 88 21 1 2003 
77 Abbi 62 86 63 18 8 2001 
78 Abbie 63 91 74 18 1 2002 
79 Abby 81 63 71 11 6 2002 
80 Abbye 99 53 81 7 2 2002 
81 Aaren 72 83 90 14 9 2003 
82 Aarika 56 84 89 10 11 2003 
83 Abagael 87 81 53 4 10 2001 
84 Abagail 76 60 66 2 2 2001 
85 Abbe 73 78 79 8 4 2003 
86 Abbey 78 71 73 15 9 2002 
87 Abbi 87 57 64 9 3 2002 
88 Abbie 84 75 86 20 5 2003 
89 Abby 76 68 52 17 10 2003 
90 Abbye 69 100 86 2 12 2002 
91 Aaren 99 89 53 18 12 2003 
92 Aarika 78 57 64 5 6 2003 
93 Abagael 58 70 100 22 12 2002 
94 Abagail 90 60 71 28 2 2001 
95 Abbe 65 88 87 15 7 2001 
96 Abbey 84 64 83 15 2 2003 
97 Abbi 70 86 92 24 7 2002 
98 Abbie 66 66 70 9 2 2002 
99 Abby 59 90 63 22 1 2003 
100 Abbye 77 100 66 3 11 2002 
101 shrey 100 100 100 28 7 2002 
