Sr No: 1	Name : Eren	Birthdate: 21/05/2002
Physics: 76	Chemistry: 66	Maths: 53	Total: 195

Sr No: 2	Name : Aarika	Birthdate: 25/07/2001
Physics: 68	Chemistry: 96	Maths: 91	Total: 255

Sr No: 3	Name : Abagael	Birthdate: 05/09/2002
Physics: 84	Chemistry: 86	Maths: 64	Total: 234

Sr No: 4	Name : Abagail	Birthdate: 17/07/2003
Physics: 64	Chemistry: 87	Maths: 86	Total: 237

Sr No: 5	Name : Abbe	Birthdate: 02/11/2003
Physics: 98	Chemistry: 56	Maths: 67	Total: 221

Sr No: 6	Name : Abbey	Birthdate: 18/10/2001
Physics: 100	Chemistry: 54	Maths: 96	Total: 250

Sr No: 7	Name : Abbi	Birthdate: 13/04/2002
Physics: 72	Chemistry: 100	Maths: 60	Total: 232

Sr No: 8	Name : Abbie	Birthdate: 03/11/2003
Physics: 94	Chemistry: 58	Maths: 86	Total: 238

Sr No: 9	Name : Abby	Birthdate: 16/10/2002
Physics: 78	Chemistry: 92	Maths: 99	Total: 269

Sr No: 10	Name : Abbye	Birthdate: 20/08/2002
Physics: 89	Chemistry: 71	Maths: 69	Total: 229

Sr No: 11	Name : Aaren	Birthdate: 27/10/2002
Physics: 65	Chemistry: 95	Maths: 98	Total: 258

Sr No: 12	Name : Aarika	Birthdate: 13/02/2002
Physics: 67	Chemistry: 61	Maths: 69	Total: 197

Sr No: 13	Name : Abagael	Birthdate: 27/08/2001
Physics: 91	Chemistry: 67	Maths: 60	Total: 218

Sr No: 14	Name : Abagail	Birthdate: 12/07/2002
Physics: 59	Chemistry: 72	Maths: 69	Total: 200

Sr No: 15	Name : Abbe	Birthdate: 28/04/2002
Physics: 88	Chemistry: 80	Maths: 61	Total: 229

Sr No: 16	Name : Abbey	Birthdate: 15/07/2003
Physics: 94	Chemistry: 78	Maths: 66	Total: 238

Sr No: 17	Name : Abbi	Birthdate: 26/01/2001
Physics: 91	Chemistry: 62	Maths: 85	Total: 238

Sr No: 18	Name : Abbie	Birthdate: 22/08/2003
Physics: 88	Chemistry: 52	Maths: 95	Total: 235

Sr No: 19	Name : Abby	Birthdate: 22/11/2001
Physics: 77	Chemistry: 66	Maths: 64	Total: 207

Sr No: 20	Name : Abbye	Birthdate: 05/12/2003
Physics: 91	Chemistry: 82	Maths: 71	Total: 244

Sr No: 21	Name : Aaren	Birthdate: 04/11/2003
Physics: 65	Chemistry: 74	Maths: 59	Total: 198

Sr No: 22	Name : Aarika	Birthdate: 11/08/2003
Physics: 87	Chemistry: 84	Maths: 83	Total: 254

Sr No: 23	Name : Abagael	Birthdate: 05/10/2001
Physics: 87	Chemistry: 99	Maths: 80	Total: 266

Sr No: 24	Name : Abagail	Birthdate: 28/02/2003
Physics: 57	Chemistry: 85	Maths: 71	Total: 213

Sr No: 25	Name : Abbe	Birthdate: 03/11/2001
Physics: 77	Chemistry: 54	Maths: 66	Total: 197

Sr No: 26	Name : Abbey	Birthdate: 25/09/2003
Physics: 51	Chemistry: 69	Maths: 57	Total: 177

Sr No: 27	Name : Abbi	Birthdate: 08/11/2001
Physics: 69	Chemistry: 63	Maths: 87	Total: 219

Sr No: 28	Name : Abbie	Birthdate: 22/03/2001
Physics: 65	Chemistry: 86	Maths: 59	Total: 210

Sr No: 29	Name : Abby	Birthdate: 12/02/2001
Physics: 52	Chemistry: 71	Maths: 98	Total: 221

Sr No: 30	Name : Abbye	Birthdate: 26/01/2001
Physics: 55	Chemistry: 67	Maths: 83	Total: 205

Sr No: 31	Name : Aaren	Birthdate: 14/02/2001
Physics: 54	Chemistry: 87	Maths: 76	Total: 217

Sr No: 32	Name : Aarika	Birthdate: 14/05/2001
Physics: 56	Chemistry: 68	Maths: 80	Total: 204

Sr No: 33	Name : Abagael	Birthdate: 16/05/2003
Physics: 63	Chemistry: 81	Maths: 79	Total: 223

Sr No: 34	Name : Abagail	Birthdate: 11/11/2001
Physics: 84	Chemistry: 71	Maths: 71	Total: 226

Sr No: 35	Name : Abbe	Birthdate: 18/06/2003
Physics: 66	Chemistry: 99	Maths: 57	Total: 222

Sr No: 36	Name : Abbey	Birthdate: 09/02/2002
Physics: 54	Chemistry: 81	Maths: 93	Total: 228

Sr No: 37	Name : Abbi	Birthdate: 02/01/2001
Physics: 81	Chemistry: 79	Maths: 62	Total: 222

Sr No: 38	Name : Abbie	Birthdate: 11/02/2002
Physics: 63	Chemistry: 88	Maths: 93	Total: 244

Sr No: 39	Name : Abby	Birthdate: 18/05/2002
Physics: 99	Chemistry: 88	Maths: 64	Total: 251

Sr No: 40	Name : Abbye	Birthdate: 14/09/2001
Physics: 72	Chemistry: 61	Maths: 73	Total: 206

Sr No: 41	Name : Aaren	Birthdate: 14/09/2002
Physics: 84	Chemistry: 100	Maths: 62	Total: 246

Sr No: 42	Name : Aarika	Birthdate: 25/01/2001
Physics: 72	Chemistry: 79	Maths: 56	Total: 207

Sr No: 43	Name : Abagael	Birthdate: 07/04/2001
Physics: 77	Chemistry: 70	Maths: 98	Total: 245

Sr No: 44	Name : Abagail	Birthdate: 16/12/2003
Physics: 62	Chemistry: 88	Maths: 84	Total: 234

Sr No: 45	Name : Abbe	Birthdate: 18/08/2003
Physics: 71	Chemistry: 74	Maths: 81	Total: 226

Sr No: 46	Name : Abbey	Birthdate: 26/03/2003
Physics: 76	Chemistry: 63	Maths: 66	Total: 205

Sr No: 47	Name : Abbi	Birthdate: 13/06/2002
Physics: 75	Chemistry: 56	Maths: 72	Total: 203

Sr No: 48	Name : Abbie	Birthdate: 02/12/2001
Physics: 72	Chemistry: 80	Maths: 70	Total: 222

Sr No: 49	Name : Abby	Birthdate: 23/07/2002
Physics: 84	Chemistry: 77	Maths: 63	Total: 224

Sr No: 50	Name : Abbye	Birthdate: 18/12/2003
Physics: 89	Chemistry: 83	Maths: 53	Total: 225

Sr No: 51	Name : Aaren	Birthdate: 17/12/2003
Physics: 89	Chemistry: 70	Maths: 56	Total: 215

Sr No: 52	Name : Aarika	Birthdate: 18/01/2002
Physics: 82	Chemistry: 98	Maths: 52	Total: 232

Sr No: 53	Name : Abagael	Birthdate: 02/05/2001
Physics: 70	Chemistry: 54	Maths: 82	Total: 206

Sr No: 54	Name : Abagail	Birthdate: 01/05/2002
Physics: 62	Chemistry: 91	Maths: 57	Total: 210

Sr No: 55	Name : Abbe	Birthdate: 08/01/2002
Physics: 95	Chemistry: 69	Maths: 91	Total: 255

Sr No: 56	Name : Abbey	Birthdate: 18/02/2002
Physics: 87	Chemistry: 91	Maths: 77	Total: 255

Sr No: 57	Name : Abbi	Birthdate: 03/09/2001
Physics: 54	Chemistry: 96	Maths: 73	Total: 223

Sr No: 58	Name : Abbie	Birthdate: 05/12/2001
Physics: 82	Chemistry: 87	Maths: 64	Total: 233

Sr No: 59	Name : Abby	Birthdate: 18/02/2001
Physics: 75	Chemistry: 64	Maths: 65	Total: 204

Sr No: 60	Name : Abbye	Birthdate: 07/11/2002
Physics: 68	Chemistry: 58	Maths: 87	Total: 213

Sr No: 61	Name : Aaren	Birthdate: 14/11/2001
Physics: 85	Chemistry: 66	Maths: 57	Total: 208

Sr No: 62	Name : Aarika	Birthdate: 26/11/2003
Physics: 74	Chemistry: 90	Maths: 93	Total: 257

Sr No: 63	Name : Abagael	Birthdate: 11/08/2002
Physics: 74	Chemistry: 68	Maths: 76	Total: 218

Sr No: 64	Name : Abagail	Birthdate: 10/05/2001
Physics: 94	Chemistry: 73	Maths: 77	Total: 244

Sr No: 65	Name : Abbe	Birthdate: 25/09/2001
Physics: 76	Chemistry: 72	Maths: 52	Total: 200

Sr No: 66	Name : Abbey	Birthdate: 08/05/2003
Physics: 61	Chemistry: 71	Maths: 56	Total: 188

Sr No: 67	Name : Abbi	Birthdate: 16/01/2001
Physics: 60	Chemistry: 81	Maths: 57	Total: 198

Sr No: 68	Name : Abbie	Birthdate: 16/06/2002
Physics: 61	Chemistry: 88	Maths: 68	Total: 217

Sr No: 69	Name : Abby	Birthdate: 01/08/2001
Physics: 69	Chemistry: 64	Maths: 61	Total: 194

Sr No: 70	Name : Abbye	Birthdate: 08/01/2001
Physics: 94	Chemistry: 70	Maths: 87	Total: 251

Sr No: 71	Name : Aaren	Birthdate: 21/05/2002
Physics: 73	Chemistry: 63	Maths: 100	Total: 236

Sr No: 72	Name : Aarika	Birthdate: 21/02/2002
Physics: 64	Chemistry: 97	Maths: 66	Total: 227

Sr No: 73	Name : Abagael	Birthdate: 28/08/2002
Physics: 98	Chemistry: 53	Maths: 68	Total: 219

Sr No: 74	Name : Abagail	Birthdate: 06/08/2001
Physics: 82	Chemistry: 88	Maths: 60	Total: 230

Sr No: 75	Name : Abbe	Birthdate: 09/10/2001
Physics: 82	Chemistry: 63	Maths: 65	Total: 210

Sr No: 76	Name : Abbey	Birthdate: 21/01/2003
Physics: 52	Chemistry: 86	Maths: 88	Total: 226

Sr No: 77	Name : Abbi	Birthdate: 18/08/2001
Physics: 62	Chemistry: 86	Maths: 63	Total: 211

Sr No: 78	Name : Abbie	Birthdate: 18/01/2002
Physics: 63	Chemistry: 91	Maths: 74	Total: 228

Sr No: 79	Name : Abby	Birthdate: 11/06/2002
Physics: 81	Chemistry: 63	Maths: 71	Total: 215

Sr No: 80	Name : Abbye	Birthdate: 07/02/2002
Physics: 99	Chemistry: 53	Maths: 81	Total: 233

Sr No: 81	Name : Aaren	Birthdate: 14/09/2003
Physics: 72	Chemistry: 83	Maths: 90	Total: 245

Sr No: 82	Name : Aarika	Birthdate: 10/11/2003
Physics: 56	Chemistry: 84	Maths: 89	Total: 229

Sr No: 83	Name : Abagael	Birthdate: 04/10/2001
