1 Eren 222 79 90 53 2 1 2001 
2 Aarika 256 79 81 96 1 7 2003 
3 Abagael 234 67 76 91 10 8 2003 
4 Abagail 189 52 66 71 26 7 2003 
5 Abbe 222 61 72 89 15 10 2001 
6 Abbey 259 98 77 84 14 10 2002 
7 Abbi 233 92 51 90 20 11 2003 
8 Abbie 224 92 65 67 11 10 2001 
9 Abby 231 83 95 53 22 6 2002 
10 Abbye 203 53 99 51 24 12 2003 
11 Aaren 232 80 54 98 14 9 2002 
12 Aarika 189 59 56 74 16 10 2001 
13 Abagael 233 75 88 70 26 12 2003 
14 Abagail 229 81 86 62 14 1 2002 
15 Abbe 207 60 66 81 15 10 2002 
16 Abbey 223 92 65 66 28 8 2002 
17 Abbi 207 74 54 79 18 8 2001 
18 Abbie 215 66 77 72 2 1 2003 
19 Abby 224 72 93 59 16 6 2002 
20 Abbye 247 59 92 96 25 5 2001 
21 Aaren 226 74 82 70 16 8 2002 
22 Aarika 211 68 74 69 25 10 2003 
23 Abagael 185 55 66 64 19 12 2001 
24 Abagail 211 55 66 90 8 4 2002 
25 Abbe 225 53 77 95 22 6 2002 
26 Abbey 259 65 96 98 18 12 2001 
27 Abbi 233 94 86 53 21 1 2003 
28 Abbie 248 58 96 94 26 5 2001 
29 Abby 255 91 86 78 18 6 2003 
30 Abbye 236 85 59 92 26 11 2003 
31 Aaren 231 69 97 65 23 10 2002 
32 Aarika 211 63 66 82 22 3 2003 
33 Abagael 275 86 94 95 18 2 2003 
34 Abagail 220 87 56 77 15 7 2003 
35 Abbe 263 97 69 97 12 8 2001 
36 Abbey 233 78 88 67 23 9 2001 
37 Abbi 224 70 90 64 18 9 2001 
38 Abbie 251 88 66 97 7 6 2001 
39 Abby 244 51 100 93 17 11 2002 
40 Abbye 241 90 90 61 20 8 2001 
41 Aaren 237 100 64 73 24 9 2002 
42 Aarika 255 82 75 98 16 10 2002 
43 Abagael 238 83 79 76 21 8 2002 
44 Abagail 269 98 72 99 16 5 2001 
45 Abbe 244 96 94 54 12 1 2003 
46 Abbey 220 62 82 76 22 7 2001 
47 Abbi 243 89 91 63 7 4 2001 
48 Abbie 217 63 98 56 15 4 2001 
49 Abby 219 58 68 93 21 9 2002 
50 Abbye 239 70 99 70 1 10 2003 
51 Aaren 239 94 69 76 13 6 2001 
52 Aarika 252 91 78 83 22 3 2003 
53 Abagael 222 55 95 72 12 11 2003 
54 Abagail 200 53 87 60 15 8 2002 
55 Abbe 226 72 85 69 14 11 2002 
56 Abbey 262 95 82 85 26 9 2002 
57 Abbi 245 65 83 97 16 6 2003 
58 Abbie 188 52 56 80 11 12 2001 
