Sr No: 1	Name : shrey	Birthdate: 02/01/2001
Physics: 79	Chemistry: 90	Maths: 53	Total: 222

Sr No: 2	Name : Aarika	Birthdate: 01/07/2003
Physics: 79	Chemistry: 81	Maths: 96	Total: 256

Sr No: 3	Name : Abagael	Birthdate: 10/08/2003
Physics: 67	Chemistry: 76	Maths: 91	Total: 234

Sr No: 4	Name : Abagail	Birthdate: 26/07/2003
Physics: 52	Chemistry: 66	Maths: 71	Total: 189

Sr No: 5	Name : Abbe	Birthdate: 15/10/2001
Physics: 61	Chemistry: 72	Maths: 89	Total: 222

Sr No: 6	Name : Abbey	Birthdate: 14/10/2002
Physics: 98	Chemistry: 77	Maths: 84	Total: 259

Sr No: 7	Name : Abbi	Birthdate: 20/11/2003
Physics: 92	Chemistry: 51	Maths: 90	Total: 233

Sr No: 8	Name : Abbie	Birthdate: 11/10/2001
Physics: 92	Chemistry: 65	Maths: 67	Total: 224

Sr No: 9	Name : Abby	Birthdate: 22/06/2002
Physics: 83	Chemistry: 95	Maths: 53	Total: 231

Sr No: 10	Name : Abbye	Birthdate: 24/12/2003
Physics: 53	Chemistry: 99	Maths: 51	Total: 203

Sr No: 11	Name : Aaren	Birthdate: 14/09/2002
Physics: 80	Chemistry: 54	Maths: 98	Total: 232

Sr No: 12	Name : Aarika	Birthdate: 16/10/2001
Physics: 59	Chemistry: 56	Maths: 74	Total: 189

Sr No: 13	Name : Abagael	Birthdate: 26/12/2003
Physics: 75	Chemistry: 88	Maths: 70	Total: 233

Sr No: 14	Name : Abagail	Birthdate: 14/01/2002
Physics: 81	Chemistry: 86	Maths: 62	Total: 229

Sr No: 15	Name : Abbe	Birthdate: 15/10/2002
Physics: 60	Chemistry: 66	Maths: 81	Total: 207

Sr No: 16	Name : Abbey	Birthdate: 28/08/2002
Physics: 92	Chemistry: 65	Maths: 66	Total: 223

Sr No: 17	Name : Abbi	Birthdate: 18/08/2001
Physics: 74	Chemistry: 54	Maths: 79	Total: 207

Sr No: 18	Name : Abbie	Birthdate: 02/01/2003
Physics: 66	Chemistry: 77	Maths: 72	Total: 215

Sr No: 19	Name : Abby	Birthdate: 16/06/2002
Physics: 72	Chemistry: 93	Maths: 59	Total: 224

Sr No: 20	Name : Abbye	Birthdate: 25/05/2001
Physics: 59	Chemistry: 92	Maths: 96	Total: 247

Sr No: 21	Name : Aaren	Birthdate: 16/08/2002
Physics: 74	Chemistry: 82	Maths: 70	Total: 226

Sr No: 22	Name : Aarika	Birthdate: 25/10/2003
Physics: 68	Chemistry: 74	Maths: 69	Total: 211

Sr No: 23	Name : Abagael	Birthdate: 19/12/2001
Physics: 55	Chemistry: 66	Maths: 64	Total: 185

Sr No: 24	Name : Abagail	Birthdate: 08/04/2002
Physics: 55	Chemistry: 66	Maths: 90	Total: 211

Sr No: 25	Name : Abbe	Birthdate: 22/06/2002
Physics: 53	Chemistry: 77	Maths: 95	Total: 225

Sr No: 26	Name : Abbey	Birthdate: 18/12/2001
Physics: 65	Chemistry: 96	Maths: 98	Total: 259

Sr No: 27	Name : Abbi	Birthdate: 21/01/2003
Physics: 94	Chemistry: 86	Maths: 53	Total: 233

Sr No: 28	Name : Abbie	Birthdate: 26/05/2001
Physics: 58	Chemistry: 96	Maths: 94	Total: 248

Sr No: 29	Name : Abby	Birthdate: 18/06/2003
Physics: 91	Chemistry: 86	Maths: 78	Total: 255

Sr No: 30	Name : Abbye	Birthdate: 26/11/2003
Physics: 85	Chemistry: 59	Maths: 92	Total: 236

Sr No: 31	Name : Aaren	Birthdate: 23/10/2002
Physics: 69	Chemistry: 97	Maths: 65	Total: 231

Sr No: 32	Name : Aarika	Birthdate: 22/03/2003
Physics: 63	Chemistry: 66	Maths: 82	Total: 211

Sr No: 33	Name : Abagael	Birthdate: 18/02/2003
Physics: 86	Chemistry: 94	Maths: 95	Total: 275

Sr No: 34	Name : Abagail	Birthdate: 15/07/2003
Physics: 87	Chemistry: 56	Maths: 77	Total: 220

Sr No: 35	Name : Abbe	Birthdate: 12/08/2001
Physics: 97	Chemistry: 69	Maths: 97	Total: 263

Sr No: 36	Name : Abbey	Birthdate: 23/09/2001
Physics: 78	Chemistry: 88	Maths: 67	Total: 233

Sr No: 37	Name : Abbi	Birthdate: 18/09/2001
Physics: 70	Chemistry: 90	Maths: 64	Total: 224

Sr No: 38	Name : Abbie	Birthdate: 07/06/2001
Physics: 88	Chemistry: 66	Maths: 97	Total: 251

Sr No: 39	Name : Abby	Birthdate: 17/11/2002
Physics: 51	Chemistry: 100	Maths: 93	Total: 244

Sr No: 40	Name : Abbye	Birthdate: 20/08/2001
Physics: 90	Chemistry: 90	Maths: 61	Total: 241

Sr No: 41	Name : Aaren	Birthdate: 24/09/2002
Physics: 100	Chemistry: 64	Maths: 73	Total: 237

Sr No: 42	Name : Aarika	Birthdate: 16/10/2002
Physics: 82	Chemistry: 75	Maths: 98	Total: 255

Sr No: 43	Name : Abagael	Birthdate: 21/08/2002
Physics: 83	Chemistry: 79	Maths: 76	Total: 238

Sr No: 44	Name : Abagail	Birthdate: 16/05/2001
Physics: 98	Chemistry: 72	Maths: 99	Total: 269

Sr No: 45	Name : Abbe	Birthdate: 12/01/2003
Physics: 96	Chemistry: 94	Maths: 54	Total: 244

Sr No: 46	Name : Abbey	Birthdate: 22/07/2001
Physics: 62	Chemistry: 82	Maths: 76	Total: 220

Sr No: 47	Name : Abbi	Birthdate: 07/04/2001
Physics: 89	Chemistry: 91	Maths: 63	Total: 243

Sr No: 48	Name : Abbie	Birthdate: 15/04/2001
Physics: 63	Chemistry: 98	Maths: 56	Total: 217

Sr No: 49	Name : Abby	Birthdate: 21/09/2002
Physics: 58	Chemistry: 68	Maths: 93	Total: 219

Sr No: 50	Name : Abbye	Birthdate: 01/10/2003
Physics: 70	Chemistry: 99	Maths: 70	Total: 239

Sr No: 51	Name : Aaren	Birthdate: 13/06/2001
Physics: 94	Chemistry: 69	Maths: 76	Total: 239

Sr No: 52	Name : Aarika	Birthdate: 22/03/2003
Physics: 91	Chemistry: 78	Maths: 83	Total: 252

Sr No: 53	Name : Abagael	Birthdate: 12/11/2003
Physics: 55	Chemistry: 95	Maths: 72	Total: 222

Sr No: 54	Name : Abagail	Birthdate: 15/08/2002
Physics: 53	Chemistry: 87	Maths: 60	Total: 200

Sr No: 55	Name : Abbe	Birthdate: 14/11/2002
Physics: 72	Chemistry: 85	Maths: 69	Total: 226

Sr No: 56	Name : Abbey	Birthdate: 26/09/2002
Physics: 95	Chemistry: 82	Maths: 85	Total: 262

Sr No: 57	Name : Abbi	Birthdate: 16/06/2003
Physics: 65	Chemistry: 83	Maths: 97	Total: 245

Sr No: 58	Name : Abbie	Birthdate: 11/12/2001
Physics: 52	Chemistry: 56	Maths: 80	Total: 188

Sr No: 59	Name : Abby	Birthdate: 11/08/2001
Physics: 71	Chemistry: 92	Maths: 96	Total: 259

Sr No: 60	Name : Abbye	Birthdate: 16/05/2001
Physics: 86	Chemistry: 90	Maths: 92	Total: 268

Sr No: 61	Name : Aaren	Birthdate: 14/08/2001
Physics: 67	Chemistry: 78	Maths: 86	Total: 231

Sr No: 62	Name : Aarika	Birthdate: 08/02/2003
Physics: 62	Chemistry: 95	Maths: 76	Total: 233

Sr No: 63	Name : Abagael	Birthdate: 01/08/2001
Physics: 60	Chemistry: 83	Maths: 69	Total: 212

Sr No: 64	Name : Abagail	Birthdate: 14/12/2001
Physics: 91	Chemistry: 59	Maths: 54	Total: 204

Sr No: 65	Name : Abbe	Birthdate: 22/09/2002
Physics: 56	Chemistry: 55	Maths: 79	Total: 190

Sr No: 66	Name : Abbey	Birthdate: 12/12/2003
Physics: 54	Chemistry: 73	Maths: 52	Total: 179

Sr No: 67	Name : Abbi	Birthdate: 06/04/2003
Physics: 77	Chemistry: 83	Maths: 95	Total: 255

Sr No: 68	Name : Abbie	Birthdate: 18/05/2002
Physics: 93	Chemistry: 77	Maths: 87	Total: 257

Sr No: 69	Name : Abby	Birthdate: 17/02/2002
Physics: 53	Chemistry: 70	Maths: 75	Total: 198

Sr No: 70	Name : Abbye	Birthdate: 25/11/2003
Physics: 67	Chemistry: 67	Maths: 77	Total: 211

Sr No: 71	Name : Aaren	Birthdate: 11/11/2003
Physics: 61	Chemistry: 64	Maths: 53	Total: 178

Sr No: 72	Name : Aarika	Birthdate: 23/02/2001
Physics: 77	Chemistry: 96	Maths: 65	Total: 238

Sr No: 73	Name : Abagael	Birthdate: 04/12/2001
Physics: 72	Chemistry: 95	Maths: 72	Total: 239

Sr No: 74	Name : Abagail	Birthdate: 25/03/2003
Physics: 75	Chemistry: 69	Maths: 54	Total: 198

Sr No: 75	Name : Abbe	Birthdate: 13/10/2003
Physics: 62	Chemistry: 77	Maths: 84	Total: 223

Sr No: 76	Name : Abbey	Birthdate: 05/12/2002
Physics: 63	Chemistry: 51	Maths: 87	Total: 201

Sr No: 77	Name : Abbi	Birthdate: 20/10/2003
Physics: 63	Chemistry: 85	Maths: 91	Total: 239

Sr No: 78	Name : Abbie	Birthdate: 28/06/2003
Physics: 91	Chemistry: 89	Maths: 100	Total: 280

Sr No: 79	Name : Abby	Birthdate: 03/08/2001
Physics: 100	Chemistry: 88	Maths: 93	Total: 281

Sr No: 80	Name : Abbye	Birthdate: 10/06/2003
Physics: 59	Chemistry: 70	Maths: 73	Total: 202

Sr No: 81	Name : Aaren	Birthdate: 20/08/2001
Physics: 91	Chemistry: 97	Maths: 99	Total: 287

Sr No: 82	Name : Aarika	Birthdate: 18/02/2001
Physics: 77	Chemistry: 85	Maths: 53	Total: 215

Sr No: 83	Name : Abagael	Birthdate: 26/01/2002
Physics: 59	Chemistry: 84	Maths: 72	Total: 215

Sr No: 84	Name : Abagail	Birthdate: 20/04/2001
Physics: 70	Chemistry: 53	Maths: 81	Total: 204

Sr No: 85	Name : Abbe	Birthdate: 05/12/2001
Physics: 76	Chemistry: 93	Maths: 76	Total: 245

Sr No: 86	Name : Abbey	Birthdate: 14/08/2003
Physics: 85	Chemistry: 76	Maths: 52	Total: 213

Sr No: 87	Name : Abbi	Birthdate: 13/04/2001
Physics: 58	Chemistry: 81	Maths: 57	Total: 196

Sr No: 88	Name : Abbie	Birthdate: 25/10/2003
Physics: 75	Chemistry: 95	Maths: 58	Total: 228

Sr No: 89	Name : Abby	Birthdate: 28/01/2001
Physics: 94	Chemistry: 91	Maths: 67	Total: 252

Sr No: 90	Name : Abbye	Birthdate: 22/08/2003
Physics: 59	Chemistry: 91	Maths: 74	Total: 224

Sr No: 91	Name : Aaren	Birthdate: 28/09/2001
Physics: 96	Chemistry: 82	Maths: 98	Total: 276

Sr No: 92	Name : Aarika	Birthdate: 21/02/2003
Physics: 88	Chemistry: 99	Maths: 72	Total: 259

Sr No: 93	Name : Abagael	Birthdate: 05/07/2003
Physics: 64	Chemistry: 76	Maths: 94	Total: 234

Sr No: 94	Name : Abagail	Birthdate: 27/11/2001
Physics: 89	Chemistry: 98	Maths: 52	Total: 239

Sr No: 95	Name : Abbe	Birthdate: 07/05/2001
Physics: 90	Chemistry: 97	Maths: 61	Total: 248

Sr No: 96	Name : Abbey	Birthdate: 15/06/2001
Physics: 99	Chemistry: 77	Maths: 57	Total: 233

Sr No: 97	Name : Abbi	Birthdate: 25/06/2002
Physics: 92	Chemistry: 82	Maths: 66	Total: 240

Sr No: 98	Name : Abbie	Birthdate: 12/12/2002
Physics: 86	Chemistry: 74	Maths: 62	Total: 222

Sr No: 99	Name : Abby	Birthdate: 01/08/2003
Physics: 100	Chemistry: 69	Maths: 65	Total: 234

Sr No: 100	Name : Abbye	Birthdate: 02/12/2001
Physics: 51	Chemistry: 86	Maths: 68	Total: 205

Sr No: 101	Name : Aaren	Birthdate: 16/06/2001
Physics: 90	Chemistry: 64	Maths: 75	Total: 229

Sr No: 102	Name : Aarika	Birthdate: 19/02/2002
Physics: 84	Chemistry: 86	Maths: 98	Total: 268

Sr No: 103	Name : Abagael	Birthdate: 26/05/2002
Physics: 98	Chemistry: 80	Maths: 75	Total: 253

Sr No: 104	Name : Abagail	Birthdate: 13/08/2003
Physics: 58	Chemistry: 55	Maths: 61	Total: 174

Sr No: 105	Name : Abbe	Birthdate: 05/06/2002
Physics: 77	Chemistry: 70	Maths: 74	Total: 221

Sr No: 106	Name : Abbey	Birthdate: 28/04/2001
Physics: 87	Chemistry: 84	Maths: 73	Total: 244

Sr No: 107	Name : Abbi	Birthdate: 28/09/2001
Physics: 90	Chemistry: 62	Maths: 74	Total: 226

Sr No: 108	Name : Abbie	Birthdate: 25/03/2002
Physics: 64	Chemistry: 69	Maths: 83	Total: 216

Sr No: 109	Name : Abby	Birthdate: 15/11/2003
Physics: 90	Chemistry: 85	Maths: 87	Total: 262

Sr No: 110	Name : Abbye	Birthdate: 12/02/2003
Physics: 62	Chemistry: 68	Maths: 92	Total: 222

Sr No: 111	Name : Aaren	Birthdate: 17/03/2001
Physics: 52	Chemistry: 68	Maths: 57	Total: 177

Sr No: 112	Name : Aarika	Birthdate: 10/02/2001
